sys:1: DtypeWarning: Columns (8,9,10,11,12,43,157,196,214,225,228,229,231,235,238) have mixed types. Specify dtype option on import or set low_memory=False.
sys:1: DtypeWarning: Columns (8,9,10,11,12,43,157,167,177,196,214,225,228,229,231,235,238) have mixed types. Specify dtype option on import or set low_memory=False.
/home/ubuntu/anaconda/lib/python2.7/site-packages/numpy/lib/arraysetops.py:200: FutureWarning: numpy not_equal will not check object identity in the future. The comparison did not return the same result as suggested by the identity (`is`)) and will change.
  flag = np.concatenate(([True], aux[1:] != aux[:-1]))
Will train until validation_0 error hasn't decreased in 20 rounds.
[675]	validation_0-auc:0.807809
[676]	validation_0-auc:0.807808
[677]	validation_0-auc:0.807802
[678]	validation_0-auc:0.807798
[679]	validation_0-auc:0.807817
[680]	validation_0-auc:0.807819
[681]	validation_0-auc:0.807827
[682]	validation_0-auc:0.807829
[683]	validation_0-auc:0.807893
[684]	validation_0-auc:0.807903
[685]	validation_0-auc:0.807873
[686]	validation_0-auc:0.807878
[687]	validation_0-auc:0.807862
[688]	validation_0-auc:0.807848
[689]	validation_0-auc:0.807848
[690]	validation_0-auc:0.807853
[691]	validation_0-auc:0.807880
[692]	validation_0-auc:0.807890
[693]	validation_0-auc:0.807847
[694]	validation_0-auc:0.807822
[695]	validation_0-auc:0.807866
[696]	validation_0-auc:0.807842
[697]	validation_0-auc:0.807830
[698]	validation_0-auc:0.807848
[699]	validation_0-auc:0.807846
[700]	validation_0-auc:0.807863
[701]	validation_0-auc:0.807841
[702]	validation_0-auc:0.807818
[703]	validation_0-auc:0.807779
[704]	validation_0-auc:0.807763
Stopping. Best iteration:
[684]	validation_0-auc:0.807903

